Time ,Dis,speed,flow
204,0,71.1,637
205,0,70.2,623
206,0,70.2,651
207,0,70.3,627
208,0,70.7,618
209,0,72,574
210,0,71.3,595
211,0,70.1,581
212,0,71.2,485
213,0,70.7,545
214,0,71.4,513
215,0,71.8,512
216,0,71.7,458
217,0,72.4,511
218,0,72.7,449
219,0,72.2,494
220,0,72.9,534
221,0,74.3,446
222,0,73.8,454
223,0,73.6,463
224,0,74.5,466
225,0,73.6,422
226,0,74,433
227,0,73.8,362
228,0,74.4,371
229,0,74.6,351
230,0,74.3,352
231,0,74.6,377
232,0,73.8,350
233,0,74.7,303
234,0,73.6,284
235,0,75,298
236,0,75.4,260
237,0,75.1,256
238,0,75.5,263
239,0,75.9,242
240,0,75.4,270
241,0,76.3,260
242,0,75,249
243,0,75.2,263
244,0,73.6,256
245,0,75.7,260
246,0,75.8,233
247,0,75.8,220
248,0,74.7,238
249,0,75.1,231
250,0,76.3,225
251,0,75.1,224
252,0,76.1,209
253,0,74.2,233
254,0,75.2,219
255,0,74.5,211
256,0,73.5,273
257,0,75.2,258
258,0,75.3,184
259,0,75.1,200
260,0,75.7,173
261,0,75.7,187
262,0,75.9,184
263,0,76.1,181
264,0,75.9,168
265,0,75.6,187
266,0,75.5,194
267,0,74.4,200
268,0,75,197
269,0,74.6,152
270,0,76.4,145
271,0,74.3,129
272,0,76.8,140
273,0,76,133
274,0,74.8,120
275,0,75,122
276,0,77.3,78
277,0,76,94
278,0,75.9,102
279,0,75.5,107
280,0,74.7,85
281,0,75.6,62
282,0,75,81
283,0,76.9,84
284,0,75.5,90
285,0,74.9,69
286,0,74.1,68
287,0,75.6,56
